sep=,
"Vergunningnr","Inrichting","KvK-nummer","Allocatie 2008","Emissie 2008","Naleving 2008","Allocatie 2009","Emissie 2009","Naleving 2009","Allocatie 2010","Emissie 2010","Naleving 2010","Allocatie 2011","Emissie 2011","Naleving 2011","Allocatie 2012","Emissie 2012","Naleving 2012","Allocatie 2013","Emissie 2013","Naleving 2013"
"NL-200400161i","Chemelot BKG 10","14083045","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","208588","92636","Ja"
"NL-200400161j","Chemelot BKG 11","14083045","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","133956","45070","Ja"
"NL-200400161k","Chemelot BKG 12","14083045","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","126048","52396","Ja"
"NL-200400161l","Chemelot BKG 13","14083045","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","145039","42523","Ja"
"NL-200400161m","Chemelot BKG 14","14083045","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","26324","83402","Ja"
"NL-200700167","Combinations B.V.","27234978","13123","11841","Ja","13123","10890","Ja","13123","12803","Ja","13123","11481","Ja","13123","11990","Ja","6741","13588","Ja"
"NL-200500069","FloraHolland Aalsmeer","34284016","8357","9525","Ja","8357","9340","Ja","8357","11455","Ja","8357","8404","Ja","8357","9848","Ja","8605","10403","Ja"
"NL-200500059","FloraHolland Vestiging Naaldwijk","34284016","6935","9199","Ja","6935","9122","Ja","6935","9528","Ja","6935","7484","Ja","6935","8675","Ja","5864","9263","Ja"
"NL-200400142","Coöperatieve Grasdrogerij Ruinerwold en omstreken B.A.","04006722","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","18067","20362","Ja"
"NL-200400146","Croda Nederland B.V.","24324849","51515","47935","Ja","51515","52032","Ja","51515","52384","Ja","51515","47939","Ja","51515","50503","Ja","42924","42582","Ja"
"NL-200400284","Crown Van Gelder N.V.","34059938","147933","143143","Ja","147933","140193","Ja","147933","140677","Ja","147933","140890","Ja","147933","141729","Ja","63824","141965","Ja"
"NL-200500022","DAF Trucks N.V.","17078445","9429","10659","Ja","9428","8570","Ja","9428","11431","Ja","9428","10709","Ja","9428","11053","Ja","11546","18891","Ja"
"NL-200400030","Dana Petroleum Netherlands B.V. facility F2-A-Hanze","27120679","34943","32094","Ja","34942","37066","Ja","34942","37809","Ja","34942","39846","Ja","34942","41304","Ja","8580","38726","Ja"
"NL-200600035","Dana Petroleum Netherlands B.V. facility P11-B-De Ruyter","27120679","65913","33073","Ja","65913","28887","Ja","65913","28313","Ja","65913","29394","Ja","65913","36741","Ja","23765","37122","Ja"
"NL-201000111","Strabag Asfalt","27143852","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3096","2568","Ja"
"NL-200400119","De Kleef Energie B.V.","09135994","123088","113579","Ja","123088","114364","Ja","123088","141224","Ja","123088","133240","Ja","123088","93326","Ja","43580","101824","Ja"
"NL-200700165","De Vries Erica BV","04060356","13303","14458","Ja","13303","12031","Ja","13303","13904","Ja","13303","12802","Ja","13303","3477","Ja","-","-","-"
"NL-200800107","De Witte Ruiter Energie BV","20118422","17528","17530","Ja","17528","16765","Ja","17528","18091","Ja","17528","17585","Ja","17528","7053","Ja","-","-","-"
"NL-200700048","Dekker Chrysanten BV","36030162","14535","12190","Ja","15353","11405","Ja","15352","11043","Ja","15352","9609","Ja","15352","10144","Ja","6075","6316","Ja"
"NL-200400123","Delesto B.V.","02324488","1641566","1969524","Ja","1641566","1792602","Ja","1641566","1730523","Ja","1641566","1651637","Ja","1641566","863103","Ja","154936","665494","Ja"
"NL-200400129","WKC Kruiningen","22031457","84395","81452","Ja","84395","78423","Ja","84395","79486","Ja","84395","83310","Ja","84394","80974","Ja","50991","79596","Ja"
"NL-200400005","DELTIUS","22046022","29514","21092","Ja","29514","19584","Ja","29514","23331","Ja","29514","19201","Ja","29513","20463","Ja","13211","17165","Ja"
"NL-200400218","DOC Kaas BV, vestiging Zuivelpark","04016426","31762","35004","Ja","31761","35298","Ja","31761","38614","Ja","31761","38682","Ja","31761","41312","Ja","18959","47139","Ja"
"NL-200400214","DOC Kaas ba, vestiging Alteveerstraat","04016426","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8699","18721","Ja"
"NL-200400084","Dow Benelux B.V. BKG 1","24104547","2491681","2532219","Ja","2491681","2348211","Ja","2491681","2515098","Ja","2491681","2259682","Ja","2491681","2566897","Ja","652244","768465","Ja"
"NL-200400084a","Dow Benelux B.V. BKG 2","24104547","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","703188","747429","Ja"
"NL-200400084b","Dow Benelux B.V. BKG 3","24104547","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","830984","768903","Ja"
"NL-200400084c","Dow Benelux B.V. BKG 4","24104547","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","180450","1771","Ja"
"NL-200400084d","Dow Benelux B.V. BKG 5","24104547","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","77401","7327","Ja"
"NL-200400084e","Dow Benelux B.V. BKG 6","24104547","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","191495","98647","Ja"
"NL-200400084f","Dow Benelux B.V. BKG 7","24104547","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","51223","46408","Ja"
"NL-200400084g","Dow Benelux B.V. BKG 8","24104547","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","73034","75525","Ja"
"NL-200400084h","Dow Benelux B.V. BKG 9","24104547","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","166385","93075","Ja"
"NL-200400046","DSM Delft Permit B.V.","51395169","132516","56944","Ja","132516","47294","Ja","132515","47171","Ja","132515","50026","Ja","132515","49967","Ja","36789","49434","Ja"
"NL-200400077","Emerald Kalama Chemical B.V.","34304785","99390","88315","Ja","99389","75834","Ja","99389","78365","Ja","99389","70629","Ja","99389","71854","Ja","120434","89272","Ja"
